STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
USW00014755,"MOUNT WASHINGTON, NH US",1/1/1948,0,0,29,,18,6
USW00014755,"MOUNT WASHINGTON, NH US",1/2/1948,0.38,3.7,30,,16,4
USW00014755,"MOUNT WASHINGTON, NH US",1/3/1948,0.07,0.7,30,,15,6
USW00014755,"MOUNT WASHINGTON, NH US",1/4/1948,0,0,30,,20,12
USW00014755,"MOUNT WASHINGTON, NH US",1/5/1948,0,0,29,,22,11
USW00014755,"MOUNT WASHINGTON, NH US",1/6/1948,0.01,0.8,29,,19,7
USW00014755,"MOUNT WASHINGTON, NH US",1/7/1948,0.02,0.5,29,,10,-2
USW00014755,"MOUNT WASHINGTON, NH US",1/8/1948,0,0,30,,11,-4
USW00014755,"MOUNT WASHINGTON, NH US",1/9/1948,0.21,2.5,30,,19,-4
USW00014755,"MOUNT WASHINGTON, NH US",1/10/1948,0,0,30,,-2,-26
USW00014755,"MOUNT WASHINGTON, NH US",1/11/1948,0,0,30,,17,-22
USW00014755,"MOUNT WASHINGTON, NH US",1/12/1948,0.08,1.2,30,,18,9
USW00014755,"MOUNT WASHINGTON, NH US",1/13/1948,0.05,1,30,,19,8
USW00014755,"MOUNT WASHINGTON, NH US",1/14/1948,0.01,0.1,30,,8,-20
USW00014755,"MOUNT WASHINGTON, NH US",1/15/1948,0,0,30,,-6,-27
USW00014755,"MOUNT WASHINGTON, NH US",1/16/1948,0.09,0.9,30,,6,-12
USW00014755,"MOUNT WASHINGTON, NH US",2/1/1948,0,0,33,,11,4
USW00014755,"MOUNT WASHINGTON, NH US",2/2/1948,0.02,0.3,33,,7,0
USW00014755,"MOUNT WASHINGTON, NH US",2/3/1948,0,0,33,,2,-24
USW00014755,"MOUNT WASHINGTON, NH US",2/4/1948,0.01,0.3,33,,-2,-24
USW00014755,"MOUNT WASHINGTON, NH US",2/5/1948,0.03,0.5,33,,1,-6
USW00014755,"MOUNT WASHINGTON, NH US",2/6/1948,0,0,33,,2,-10
USW00014755,"MOUNT WASHINGTON, NH US",2/7/1948,0.04,0.8,33,,8,-10
USW00014755,"MOUNT WASHINGTON, NH US",2/8/1948,0.06,0.9,34,,9,-25
USW00014755,"MOUNT WASHINGTON, NH US",2/9/1948,0,0,33,,-15,-29
USW00014755,"MOUNT WASHINGTON, NH US",2/10/1948,0,0,33,,-3,-15
USW00014755,"MOUNT WASHINGTON, NH US",2/11/1948,0.1,1,33,,13,-10
USW00014755,"MOUNT WASHINGTON, NH US",2/12/1948,0.03,0.5,34,,12,-7
USW00014755,"MOUNT WASHINGTON, NH US",2/13/1948,0.08,0.4,34,,30,-3
USW00014755,"MOUNT WASHINGTON, NH US",2/14/1948,2.58,0,25,,37,-12
USW00014755,"MOUNT WASHINGTON, NH US",2/15/1948,0,0,25,,-12,-23
USW00014755,"MOUNT WASHINGTON, NH US",2/16/1948,0,0,25,,22,-12
USW00014755,"MOUNT WASHINGTON, NH US",2/17/1948,0,0,25,,25,9
USW00014755,"MOUNT WASHINGTON, NH US",2/18/1948,0.23,2.4,26,,15,-10
USW00014755,"MOUNT WASHINGTON, NH US",2/19/1948,0.03,0.3,26,,33,-4
USW00014755,"MOUNT WASHINGTON, NH US",2/20/1948,0,0,26,,32,-13
USW00014755,"MOUNT WASHINGTON, NH US",2/21/1948,0,0,26,,0,-14
USW00014755,"MOUNT WASHINGTON, NH US",2/22/1948,0,0,25,,5,-5
USW00014755,"MOUNT WASHINGTON, NH US",2/23/1948,0,0,25,,9,-7
USW00014755,"MOUNT WASHINGTON, NH US",2/24/1948,0,0,24,,17,5
USW00014755,"MOUNT WASHINGTON, NH US",2/25/1948,0.54,2.5,25,,20,8
USW00014755,"MOUNT WASHINGTON, NH US",2/26/1948,0.21,1.3,25,,10,3
USW00014755,"MOUNT WASHINGTON, NH US",2/27/1948,0.16,1.4,26,,10,0
USW00014755,"MOUNT WASHINGTON, NH US",2/28/1948,0.16,1.8,27,,10,0
USW00014755,"MOUNT WASHINGTON, NH US",2/29/1948,0.04,0.5,28,,7,-10
USW00014755,"MOUNT WASHINGTON, NH US",3/1/1948,0,0,27,,6,-7
