STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
CHW00043204,"HUNG CHIA, CH",12/9/1945,0,0,,,12.8,5
CHW00043204,"HUNG CHIA, CH",12/10/1945,0,0,,,13.9,7.2
CHW00043204,"HUNG CHIA, CH",12/11/1945,0,0,,,12.8,6.1
CHW00043204,"HUNG CHIA, CH",12/12/1945,0,0,,,11.7,6.7
CHW00043204,"HUNG CHIA, CH",12/13/1945,0,0,,,14.4,7.2
CHW00043204,"HUNG CHIA, CH",12/14/1945,0,0,,,13.3,5.6
CHW00043204,"HUNG CHIA, CH",12/15/1945,0,0,,,15,7.2
CHW00043204,"HUNG CHIA, CH",12/16/1945,5.8,0,,,13.3,10
CHW00043204,"HUNG CHIA, CH",12/17/1945,0,0,,,9.4,-2.8
CHW00043204,"HUNG CHIA, CH",12/18/1945,0,0,,,1.7,-4.4
CHW00043204,"HUNG CHIA, CH",12/19/1945,0,0,,,10,-1.1
CHW00043204,"HUNG CHIA, CH",12/20/1945,0,0,,,15,5.6
CHW00043204,"HUNG CHIA, CH",12/21/1945,1,0,,,12.8,6.7
CHW00043204,"HUNG CHIA, CH",12/22/1945,2.8,0,,,7.8,5
CHW00043204,"HUNG CHIA, CH",12/23/1945,0,0,,,7.2,4.4
CHW00043204,"HUNG CHIA, CH",12/24/1945,0,0,,,6.7,4.4
CHW00043204,"HUNG CHIA, CH",12/25/1945,3.6,0,,,7.2,4.4
CHW00043204,"HUNG CHIA, CH",12/26/1945,3,0,,,5.6,3.3
CHW00043204,"HUNG CHIA, CH",12/27/1945,0,0,,,5,0.6
CHW00043204,"HUNG CHIA, CH",12/28/1945,0,0,,,3.9,-1.1
CHW00043204,"HUNG CHIA, CH",12/29/1945,0,0,,,8.3,1.1
CHW00043204,"HUNG CHIA, CH",12/30/1945,0,0,,,10,1.7
CHW00043204,"HUNG CHIA, CH",12/31/1945,0,0,,,6.1,-2.2
CHW00043204,"HUNG CHIA, CH",1/1/1946,0,0,,,9.4,2.8
CHW00043204,"HUNG CHIA, CH",1/2/1946,0,0,,,13.9,6.1
CHW00043204,"HUNG CHIA, CH",1/3/1946,0,0,,,5,-0.6
CHW00043204,"HUNG CHIA, CH",1/4/1946,0,0,,,2.2,-3.3
CHW00043204,"HUNG CHIA, CH",1/5/1946,0,0,,,4.4,-2.8
CHW00043204,"HUNG CHIA, CH",1/6/1946,0,0,,,10.6,-0.6
CHW00043204,"HUNG CHIA, CH",1/7/1946,0,0,,,12.2,2.2
CHW00043204,"HUNG CHIA, CH",1/8/1946,0,0,,,15,4.4
CHW00043204,"HUNG CHIA, CH",1/9/1946,0,0,,,7.8,-0.6
CHW00043204,"HUNG CHIA, CH",1/10/1946,0,0,,,3.3,-2.2
CHW00043204,"HUNG CHIA, CH",1/11/1946,0,0,,,5,0
CHW00043204,"HUNG CHIA, CH",1/12/1946,0,0,,,8.9,0.6
CHW00043204,"HUNG CHIA, CH",1/13/1946,0,0,,,13.9,3.9
CHW00043204,"HUNG CHIA, CH",1/14/1946,0,0,,,10.6,3.9
CHW00043204,"HUNG CHIA, CH",1/15/1946,0,0,,,9.4,4.4
CHW00043204,"HUNG CHIA, CH",1/16/1946,0,0,,,4.4,-1.1
CHW00043204,"HUNG CHIA, CH",1/17/1946,0,0,,,5,-2.8
CHW00043204,"HUNG CHIA, CH",1/18/1946,0,0,,,10.6,1.7
CHW00043204,"HUNG CHIA, CH",1/19/1946,0.5,0,,,9.4,3.9
CHW00043204,"HUNG CHIA, CH",1/20/1946,0,0,,,13.3,5
CHW00043204,"HUNG CHIA, CH",1/21/1946,0,0,,,8.3,0
CHW00043204,"HUNG CHIA, CH",1/22/1946,0,0,,,12.2,2.8
CHW00043204,"HUNG CHIA, CH",1/23/1946,2.5,0,,,15,6.1
CHW00043204,"HUNG CHIA, CH",1/24/1946,1.5,0,,,17.8,7.8
CHW00043204,"HUNG CHIA, CH",1/25/1946,1.8,0,,,16.1,8.9
CHW00043204,"HUNG CHIA, CH",1/26/1946,2.3,0,,,10.6,7.8
CHW00043204,"HUNG CHIA, CH",1/27/1946,1.8,0,,,8.3,5.6
CHW00043204,"HUNG CHIA, CH",1/28/1946,0.3,0,,,8.9,6.1
CHW00043204,"HUNG CHIA, CH",1/29/1946,14.5,0,,,7.2,4.4
