STATION,NAME,DATE,PRCP,TMAX,TMIN
DA000030380,"KOEBENHAVN LANDBOHOJSKOLEN 1, DA",1873-12-31,3.5,1.9,
DA000030380,"KOEBENHAVN LANDBOHOJSKOLEN 1, DA",1874-01-01,0,2.4,-0.5
DA000030380,"KOEBENHAVN LANDBOHOJSKOLEN 1, DA",1874-01-02,1.5,3.4,2
DA000030380,"KOEBENHAVN LANDBOHOJSKOLEN 1, DA",1874-01-03,6.2,4.4,2.5
DA000030380,"KOEBENHAVN LANDBOHOJSKOLEN 1, DA",1874-01-04,0,4.4,1.5
DA000030380,"KOEBENHAVN LANDBOHOJSKOLEN 1, DA",1874-01-05,0.9,3.9,1.5
DA000030380,"KOEBENHAVN LANDBOHOJSKOLEN 1, DA",1874-01-06,0,3.9,-0.5
DA000030380,"KOEBENHAVN LANDBOHOJSKOLEN 1, DA",1874-01-07,0,3.9,3
DA000030380,"KOEBENHAVN LANDBOHOJSKOLEN 1, DA",1874-01-08,0,1.9,-0.4
DA000030380,"KOEBENHAVN LANDBOHOJSKOLEN 1, DA",1874-01-09,0.5,1.9,-1.8
DA000030380,"KOEBENHAVN LANDBOHOJSKOLEN 1, DA",1874-01-10,0,1.9,-0.5
DA000030380,"KOEBENHAVN LANDBOHOJSKOLEN 1, DA",1874-01-11,7,1.9,0
DA000030380,"KOEBENHAVN LANDBOHOJSKOLEN 1, DA",1874-01-12,0,3.9,0.5
DA000030380,"KOEBENHAVN LANDBOHOJSKOLEN 1, DA",1874-01-13,3.5,2.9,-0.2
DA000030380,"KOEBENHAVN LANDBOHOJSKOLEN 1, DA",1874-01-14,1.9,6.4,1.5
DA000030380,"KOEBENHAVN LANDBOHOJSKOLEN 1, DA",1874-01-15,2.1,6.4,1
DA000030380,"KOEBENHAVN LANDBOHOJSKOLEN 1, DA",1874-01-16,0,5.9,3
DA000030380,"KOEBENHAVN LANDBOHOJSKOLEN 1, DA",1874-01-17,0,4.8,3.4
DA000030380,"KOEBENHAVN LANDBOHOJSKOLEN 1, DA",1874-01-18,3.3,2.8,-1
DA000030380,"KOEBENHAVN LANDBOHOJSKOLEN 1, DA",1874-01-19,0.4,7.2,0
DA000030380,"KOEBENHAVN LANDBOHOJSKOLEN 1, DA",1874-01-20,1.3,7.8,1
DA000030380,"KOEBENHAVN LANDBOHOJSKOLEN 1, DA",1874-01-21,0,7.9,2.8
DA000030380,"KOEBENHAVN LANDBOHOJSKOLEN 1, DA",1874-01-22,0,6,4.5
DA000030380,"KOEBENHAVN LANDBOHOJSKOLEN 1, DA",1874-01-23,3.4,4.4,2.2
DA000030380,"KOEBENHAVN LANDBOHOJSKOLEN 1, DA",1874-01-24,0,5.4,2
DA000030380,"KOEBENHAVN LANDBOHOJSKOLEN 1, DA",1874-01-25,3.5,1.9,-1.5
DA000030380,"KOEBENHAVN LANDBOHOJSKOLEN 1, DA",1874-01-26,0.5,7.4,-0.2
DA000030380,"KOEBENHAVN LANDBOHOJSKOLEN 1, DA",1874-01-27,0,4.4,2.5
DA000030380,"KOEBENHAVN LANDBOHOJSKOLEN 1, DA",1874-01-28,0,4.4,-1
DA000030380,"KOEBENHAVN LANDBOHOJSKOLEN 1, DA",1874-01-29,0,4.4,-1.5
DA000030380,"KOEBENHAVN LANDBOHOJSKOLEN 1, DA",1874-01-30,0,5.4,4
DA000030380,"KOEBENHAVN LANDBOHOJSKOLEN 1, DA",1874-01-31,0,4.4,-1
DA000030380,"KOEBENHAVN LANDBOHOJSKOLEN 1, DA",1874-02-01,1.5,4.2,-1
DA000030380,"KOEBENHAVN LANDBOHOJSKOLEN 1, DA",1874-02-02,0,5.2,-1.7
DA000030380,"KOEBENHAVN LANDBOHOJSKOLEN 1, DA",1874-02-03,0,6.2,2.8
